Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,What else do you add to your coffee?,What kind of dairy do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?","Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
dYZENo,35-44 years old,2,At the office,,,,,Blended drink (e.g. Frappuccino),,"Milk, dairy alternative, or coffee creamer",,Flavored coffee creamer,Chocolatey,Somewhat strong,Medium,Full caffeine,4,Coffee A,Coffee A,Coffee B,I primarily work in person,$40-$60,,Yes,No,$8-$10,$8-$10,Yes,$20-$50,No,Female,,,,,
7dJqKP,45-54 years old,1,At home,Espresso,,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,"Whole milk, Skim milk",Fruity,Medium,Medium,Full caffeine,2,Coffee B,Coffee D,Coffee B,,,,,,,,,,,,,,,,
aBj94v,25-34 years old,2,"At home, On the go","Other, Pour over",Aeropress,Local cafe,,Regular drip coffee,,No - just black,,,Juicy,Somewhat strong,Light,Full caffeine,6,Coffee C,Coffee A,Coffee C,I primarily work in person,$20-$40,,Yes,Yes,$6-$8,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed part-time,None,Independent
pL0ryq,35-44 years old,1,At the office,,,,,Other,AeroPress,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,,Yes,Yes,$6-$8,$15-$20,Yes,$300-$500,Yes,Male,Doctorate or professional degree,Hispanic/Latino,Student,None,No affiliation
qbYLA2,25-34 years old,1,At home,"Pour over, French press, Espresso",,,,Cappuccino,,No - just black,,,Fruity,Very strong,Light,Full caffeine,3,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$4-$6,$4-$6,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,No affiliation
24bX4p,25-34 years old,1,At home,Coffee brewing machine (e.g. Mr. Coffee),,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer",,Soy milk,Bright,Medium,Medium,Full caffeine,3,Coffee C,Coffee A,Coffee C,I primarily work in person,<$20,,Yes,No,$6-$8,$6-$8,No,$50-$100,No,Female,Bachelor's degree,Hispanic/Latino,Employed full-time,None,No affiliation
oA0E9P,45-54 years old,2,"At home, At a cafe","Pod/capsule machine (e.g. Keurig/Nespresso), Pour over",,,,Pourover,,"Milk, dairy alternative, or coffee creamer",,Flavored coffee creamer,Chocolatey,Very strong,Dark,Full caffeine,7,Coffee C,Coffee A,Coffee C,I primarily work in person,$40-$60,,Yes,No,$6-$8,$6-$8,No,$100-$300,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,3,Republican
PA2pOb,25-34 years old,1,"At home, At the office","French press, Espresso, Cold brew",,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer, Flavor syrup",,"Almond milk, Oat milk",Chocolatey,Medium,Medium,Full caffeine,3,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,,No,No,$6-$8,$8-$10,Yes,$300-$500,Yes,Female,Master's degree,White/Caucasian,Employed full-time,None,Democrat
eBNMEE,35-44 years old,3,At home,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Coffee extract (e.g. Cometeer)",,,,Latte,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,Fruity,Somewhat strong,Light,Full caffeine,8,Coffee B,Coffee D,Coffee C,I primarily work from home,$60-$80,,Yes,Yes,$6-$8,$10-$15,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
XeRLLg,18-24 years old,2,"At home, At a cafe","Pour over, Cold brew, Other",Aeropress and Moka pot,,,Cortado,,No - just black,,,Full Bodied,Somewhat strong,Dark,Full caffeine,4,Coffee B,Coffee D,Coffee B,I primarily work in person,$20-$40,,Yes,Yes,$4-$6,$6-$8,Yes,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Student,None,Independent
yl0Mjd,18-24 years old,Less than 1,At home,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Pourover,,Sugar or sweetener,,,Bold,Very strong,Dark,Full caffeine,2,Coffee B,Coffee A,Coffee B,I primarily work in person,<$20,,No,No,Less than $2,Less than $2,No,Less than $20,Yes,Male,High school graduate,White/Caucasian,Employed full-time,None,Republican
NA4rNQ,25-34 years old,2,At home,Pour over,,,,Pourover,,,,Half and half,Fruity,Medium,Light,,5,,,,,,,,,,,,,,,,,,,
1rbXOl,45-54 years old,3,"At home, At the office","Pour over, Espresso",,,,Cortado,,No - just black,,,Full Bodied,Somewhat strong,Light,Full caffeine,7,Coffee C,Coffee D,Coffee C,I primarily work in person,$80-$100,,Yes,Yes,$10-$15,$15-$20,Yes,$500-$1000,Yes,Male,High school graduate,Black/African American,Employed full-time,None,No affiliation
Al6zN0,18-24 years old,2,At home,"Pour over, Espresso",,,,Pourover,,No - just black,,,Fruity,Very strong,Medium,Full caffeine,7,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,,Yes,Yes,$8-$10,$8-$10,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Student,None,Democrat
24bXgj,55-64 years old,2,"At the office, At home",Pour over,,,,Cortado,,No - just black,,,Fruity,Medium,Medium,Half caff,6,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$10-$15,Yes,$50-$100,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed part-time,None,Independent
EPBK7o,25-34 years old,2,"At home, At a cafe","Pour over, French press, Coffee extract (e.g. Cometeer), Cold brew",,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,,7,,,,,,,,,,,,,,,,,,,
YZoPDW,18-24 years old,Less than 1,"At a cafe, At the office, At home","Espresso, Other",Aeropress,,,Cortado,,"No - just black, Milk, dairy alternative, or coffee creamer",,Half and half,Bright,Somewhat strong,Medium,Full caffeine,1,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,,Yes,Yes,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Independent
lN0BYo,35-44 years old,2,"At home, On the go, At a cafe","Pour over, Cold brew, French press",,"Local cafe, Specialty coffee shop",,Pourover,,No - just black,,,Fruity,Somewhat light,Light,Full caffeine,6,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,,Yes,Yes,$8-$10,$6-$8,Yes,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,,None,
yl0Mgx,25-34 years old,3,"At the office, At home","French press, Pour over, Other",Moccamaster,,,Pourover,,No - just black,,,Nutty,Medium,Light,Full caffeine,6,Coffee B,Coffee D,Coffee B,I do a mix of both,$40-$60,,Yes,Yes,$10-$15,More than $20,No,$500-$1000,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
dYZEVo,<18 years old,Less than 1,"On the go, At a cafe, At home","Pod/capsule machine (e.g. Keurig/Nespresso), Pour over",,"Local cafe, Specialty coffee shop",,Latte,,"Flavor syrup, Milk, dairy alternative, or coffee creamer",,Whole milk,Chocolatey,Somewhat strong,Dark,Full caffeine,4,Coffee C,Coffee D,Coffee C,I primarily work in person,<$20,,Yes,No,$6-$8,$8-$10,Yes,Less than $20,Yes,Female,Less than high school,White/Caucasian,Employed part-time,None,Republican
EPBKpL,25-34 years old,2,"At home, At a cafe, At the office",Pour over,,,,Cappuccino,,No - just black,,,Fruity,Medium,Light,Full caffeine,7,Coffee B,Coffee D,Coffee D,,,,Yes,Yes,,,,,,,,,,,
jB0Z4E,35-44 years old,2,"At home, At the office",Espresso,,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, No - just black",,Whole milk,Full Bodied,Medium,Italian,Full caffeine,4,Coffee A,Coffee D,Coffee C,I primarily work in person,<$20,,Yes,No,$4-$6,$4-$6,Yes,Less than $20,Yes,Male,Doctorate or professional degree,Hispanic/Latino,Employed full-time,None,No affiliation
Al6zgW,25-34 years old,1,At home,"Pour over, Espresso",,,,Americano,,No - just black,,,Fruity,Medium,Light,Full caffeine,9,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,,Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
9d6BKG,45-54 years old,Less than 1,At home,Pour over,,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Coffee creamer,Sweet,Weak,Light,Full caffeine,1,Coffee C,Coffee D,Coffee D,I primarily work in person,<$20,brings joy to my husband,No,No,$6-$8,$6-$8,No,Less than $20,Yes,Female,High school graduate,Black/African American,Employed part-time,None,No affiliation
vN0rj4,25-34 years old,2,"At home, At the office","Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, French press, Coffee brewing machine (e.g. Mr. Coffee)",,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Half and half,Full Bodied,Medium,Medium,Full caffeine,5,Coffee C,Coffee D,Coffee C,I primarily work in person,$40-$60,,Yes,Yes,$10-$15,$10-$15,Yes,$100-$300,Yes,Female,Doctorate or professional degree,White/Caucasian,Employed full-time,None,
LdEZRv,25-34 years old,2,At home,"Pour over, Espresso",,,,Espresso,,No - just black,,,Floral,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$10-$15,$8-$10,No,"More than $1,000",Yes,Male,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,None,No affiliation
RzZxOP,25-34 years old,3,At home,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Other",Aeropress,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Coffee creamer,Caramalized,Medium,Medium,Full caffeine,7,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,,Yes,No,$6-$8,$6-$8,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Independent
dYZELD,<18 years old,Less than 1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Blended drink (e.g. Frappuccino),,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer",,Whole milk,Sweet,Somewhat light,Medium,Full caffeine,1,Coffee B,Coffee A,Coffee B,I primarily work in person,<$20,to do this test,No,No,Less than $2,More than $20,No,Less than $20,Yes,Male,Less than high school,White/Caucasian,Student,None,Republican
oA0D9b,35-44 years old,2,"At home, At a cafe, At the office",French press,,,,Espresso,,No - just black,,,Fruity,Medium,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work from home,$60-$80,,Yes,Yes,$4-$6,$6-$8,No,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Independent
DVXKql,45-54 years old,2,At home,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Pourover,,"No - just black, Milk, dairy alternative, or coffee creamer",,Half and half,Fruity,Somewhat strong,Medium,Full caffeine,2,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$8-$10,$10-$15,No,$300-$500,Yes,Male,Bachelor's degree,Black/African American,Employed full-time,2,Democrat
MArXjX,35-44 years old,2,At home,"Espresso, Pour over",,,,Latte,,"No - just black, Milk, dairy alternative, or coffee creamer",,Oat milk,Chocolatey,Medium,Medium,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,,Yes,Yes,$10-$15,$10-$15,Yes,$500-$1000,Yes,Female,Master's degree,White/Caucasian,Employed full-time,None,Democrat
7dJbL0,25-34 years old,1,"At the office, At home, At a cafe","Pour over, French press, Espresso",,,,Mocha,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Chocolatey,Medium,Dark,Full caffeine,6,Coffee B,Coffee A,Coffee B,I primarily work in person,$40-$60,,Yes,Yes,$10-$15,$10-$15,Yes,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,None,No affiliation
OAjlzR,25-34 years old,Less than 1,At home,Pour over,,,,Latte,,No - just black,,,Nutty,Medium,Medium,Full caffeine,4,Coffee C,Coffee D,Coffee C,I primarily work in person,<$20,,Yes,Yes,$6-$8,$10-$15,Yes,$300-$500,Yes,Female,Doctorate or professional degree,White/Caucasian,Employed full-time,None,No affiliation
0Eb7MN,18-24 years old,2,At home,Other,Aeropress,,,Cappuccino,,No - just black,,,Full Bodied,Medium,Medium,Full caffeine,8,Coffee C,Coffee D,Coffee D,I primarily work in person,$40-$60,,Yes,Yes,$6-$8,$6-$8,Yes,,Yes,Male,Master's degree,Asian/Pacific Islander,Employed full-time,None,Democrat
qbYaBY,45-54 years old,1,At home,Pour over,,,,Pourover,,No - just black,,,Bright,Medium,Light,Full caffeine,6,Coffee C,Coffee D,Coffee D,I primarily work in person,$40-$60,,Yes,Yes,$4-$6,$6-$8,No,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed full-time,3,No affiliation
aBjeBv,25-34 years old,1,At the office,,,,,Regular drip coffee,,No - just black,,,Fruity,Medium,Medium,Full caffeine,7,Coffee C,Coffee D,Coffee C,I do a mix of both,$20-$40,,Yes,No,$8-$10,$2-$4,No,$50-$100,Yes,Male,Bachelor's degree,Other,Employed full-time,None,No affiliation
RzZd4d,35-44 years old,1,At home,Pour over,,,,Cortado,,"No - just black, Milk, dairy alternative, or coffee creamer",,"Half and half, Whole milk",Bold,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$10-$15,Yes,Less than $20,No,Male,Some college or associate's degree,White/Caucasian,Unemployed,None,Democrat
yl0Nx4,55-64 years old,2,At home,Coffee brewing machine (e.g. Mr. Coffee),,,,Americano,,"Milk, dairy alternative, or coffee creamer",,Soy milk,Full Bodied,Medium,Medium,Half caff,1,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,,Yes,Yes,$4-$6,$2-$4,No,$100-$300,Yes,Female,Master's degree,White/Caucasian,Retired,3,Democrat
VZ9j8J,35-44 years old,1,"At home, At a cafe","Pour over, French press, Other","Instant with other flavors. I know, I know... ",,,Mocha,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,Whole milk,Sweet,Somewhat strong,Light,Full caffeine,8,Coffee B,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,No,$8-$10,$8-$10,No,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Independent
XeRrBO,55-64 years old,1,At the office,,,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer",,Flavored coffee creamer,Bold,Medium,Medium,Full caffeine,5,Coffee C,Coffee D,Coffee D,I primarily work in person,<$20,,Yes,Yes,$4-$6,$4-$6,Yes,Less than $20,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,3,Independent
ZdG8b0,25-34 years old,4,At home,"Espresso, Pour over",,,,Latte,,"Milk, dairy alternative, or coffee creamer, No - just black",,Oat milk,Chocolatey,Somewhat strong,Medium,Full caffeine,8,Coffee B,Coffee D,Coffee B,I primarily work from home,>$100,Culturally important to me,Yes,Yes,$15-$20,$15-$20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Hispanic/Latino,Employed full-time,None,No affiliation
XeRrOd,35-44 years old,2,"At home, At the office",Espresso,,,,Espresso,,No - just black,,,Chocolatey,Medium,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I do a mix of both,$60-$80,,Yes,No,$8-$10,$4-$6,No,$100-$300,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,None,No affiliation
6d1eA5,35-44 years old,1,"At the office, At home",French press,,,,Mocha,,"Milk, dairy alternative, or coffee creamer",,"Flavored coffee creamer, Almond milk, Oat milk",Chocolatey,Medium,Dark,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work in person,<$20,,Yes,Yes,$6-$8,$8-$10,No,Less than $20,Yes,Female,Master's degree,Other,Employed full-time,None,Democrat
24bBlb,35-44 years old,1,"At home, On the go, At the office","Pour over, French press, Instant coffee, Cold brew",,"Other, Specialty coffee shop",,Pourover,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Half and half,Caramalized,Somewhat strong,Medium,Decaf,7,Coffee A,Coffee A,Coffee A,,,,,,,,,,,,,,,,
kY09zd,>65 years old,3,"At the office, At home","Coffee brewing machine (e.g. Mr. Coffee), Pour over",,,,Pourover,,No - just black,,,Nutty,Medium,Medium,Full caffeine,5,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,,Yes,Yes,$4-$6,$2-$4,No,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed full-time,3,Republican
9d6XPV,,,,,,,,,,,,,,Somewhat strong,Light,,,,,,,,,,,,,,,,,,,,,
6d1epo,35-44 years old,2,"At the office, At a cafe, On the go, At home",Espresso,,Local cafe,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Whole milk,Fruity,Somewhat strong,Medium,Full caffeine,5,Coffee C,Coffee D,Coffee C,I primarily work in person,$80-$100,,Yes,Yes,More than $20,More than $20,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,2,Republican
zK0NRM,25-34 years old,2,"At home, At the office","Pour over, Other",Clever and Aeropress,,,Latte,,No - just black,,,Fruity,Somewhat strong,Light,,,,,,,,,,,,,,,,,,,,,
bl29y1,35-44 years old,1,"At the office, At home, At a cafe",Espresso,,,,Mocha,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,"Half and half, Whole milk",Chocolatey,Medium,Medium,Full caffeine,1,Coffee B,Coffee D,Coffee D,I primarily work in person,>$100,,Yes,Yes,$10-$15,More than $20,No,$500-$1000,Yes,Female,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Republican
lN0qY6,35-44 years old,3,At home,"Pour over, Espresso",,,,Espresso,,"No - just black, Milk, dairy alternative, or coffee creamer",,Oat milk,Bold,Medium,Dark,Full caffeine,5,Coffee B,Coffee D,Coffee B,I primarily work in person,$20-$40,,Yes,Yes,$10-$15,$6-$8,Yes,$500-$1000,No,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,Independent
RzZd2Q,35-44 years old,2,"At home, At the office",Pour over,,,,Cortado,,No - just black,,,Fruity,Medium,Light,Full caffeine,5,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,,Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Male,Doctorate or professional degree,Other,Employed full-time,1,
eBND8k,35-44 years old,Less than 1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Cappuccino,,No - just black,,,Full Bodied,Somewhat strong,Dark,Full caffeine,1,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,Master's degree,White/Caucasian,Unemployed,2,Democrat
lN0BDN,35-44 years old,1,"At home, At a cafe",Pour over,,,,Cortado,,No - just black,,,Fruity,Medium,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,To stick it to England and their unfair tea levy,Yes,Yes,$8-$10,More than $20,Yes,$100-$300,Yes,Prefer not to say,Bachelor's degree,,Employed full-time,None,No affiliation
24bXyj,25-34 years old,1,"At home, At the office, On the go",Other,Clever Dripper,"National chain (e.g. Starbucks, Dunkin), Local cafe",,Cortado,,No - just black,,,Sweet,Somewhat strong,Light,Full caffeine,5,Coffee C,Coffee D,Coffee D,I primarily work in person,$40-$60,,Yes,No,$10-$15,$15-$20,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,No affiliation
RzZdlK,45-54 years old,2,At home,Pour over,,,,Pourover,,No - just black,,,Fruity,Medium,Light,Full caffeine,7,Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,,Yes,Yes,$8-$10,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,,None,
YZoR15,25-34 years old,2,"At the office, At home",Pour over,,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,7,Coffee B,Coffee D,Coffee D,I primarily work in person,$40-$60,,Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Independent
g5QeBd,55-64 years old,Less than 1,At home,Pour over,,,,Other,do not have one,Other,water,,Sweet,Weak,Light,Decaf,1,Coffee C,Coffee A,Coffee C,I primarily work in person,<$20,I don't generally drink coffee,No,No,Less than $2,Less than $2,No,Less than $20,No,Prefer not to say,Some college or associate's degree,Asian/Pacific Islander,Retired,None,No affiliation
kY09M6,35-44 years old,3,"At home, On the go, At the office","Pour over, French press, Espresso, Other",Aeropress,Other,I make it at home and drink it on the go.,Espresso,,"No - just black, Other",Frothed milk,,Fruity,Very strong,Light,Full caffeine,5,Coffee B,Coffee D,Coffee D,I primarily work in person,$20-$40,,Yes,Yes,$8-$10,$8-$10,No,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,None,Republican
XeRJxV,35-44 years old,3,"At home, At a cafe, On the go, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,Specialty coffee shop,,Regular drip coffee,,No - just black,,,Bright,Medium,Light,Full caffeine,6,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,,Yes,Yes,$10-$15,$15-$20,Yes,$500-$1000,Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,None,Democrat
EPBddA,35-44 years old,2,"At the office, At home",Other,Aeropress,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Oat milk,Nutty,Somewhat strong,Medium,Full caffeine,6,Coffee B,Coffee D,Coffee B,I primarily work in person,<$20,,Yes,No,$4-$6,$6-$8,Yes,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,Democrat
kY0eNZ,25-34 years old,3,At home,Pour over,,,,Pourover,,No - just black,,,Floral,Medium,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,,Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,None,Democrat
VZ9QGl,25-34 years old,2,"At the office, At home",Pod/capsule machine (e.g. Keurig/Nespresso),,,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,"Whole milk, Half and half, Flavored coffee creamer, Almond milk",Chocolatey,Medium,Dark,Full caffeine,4,Coffee C,Coffee A,Coffee C,I primarily work in person,$40-$60,,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,None,Independent
vN0eAl,25-34 years old,3,"At the office, At a cafe, At home",Pour over,,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,9,Coffee A,Coffee D,Coffee D,I do a mix of both,$80-$100,,Yes,Yes,$10-$15,$15-$20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,No affiliation
EPBdQl,25-34 years old,2,"At home, At the office","Cold brew, Other",Aeropress / Clever Dripper,,,Other,Cuban,"No - just black, Milk, dairy alternative, or coffee creamer",,Almond milk,Chocolatey,Somewhat strong,Light,Full caffeine,6,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,,Yes,Yes,$10-$15,More than $20,Yes,$100-$300,Yes,Female,Some college or associate's degree,White/Caucasian,Employed full-time,None,Democrat
1rbd4b,25-34 years old,2,At home,"Pour over, Other",Turkish,,,Cortado,,"Milk, dairy alternative, or coffee creamer, No - just black",,"Whole milk, Coffee creamer",Full Bodied,Somewhat strong,Medium,Full caffeine,6,Coffee A,Coffee A,Coffee A,,,,,,,,,,,,,,,,
DVXkeZ,25-34 years old,1,At the office,,,,,Regular drip coffee,,No - just black,,,Juicy,Somewhat strong,Medium,Full caffeine,4,Coffee A,Coffee D,Coffee D,I primarily work in person,,,Yes,,,,,,,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,
RzZM8d,25-34 years old,1,"At a cafe, At home","Pour over, Espresso",,,,Cortado,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,,Yes,Yes,$8-$10,$8-$10,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Republican
QAxe0G,25-34 years old,1,At home,"French press, Coffee brewing machine (e.g. Mr. Coffee)",,,,Latte,,No - just black,,,Full Bodied,Somewhat strong,Medium,Half caff,3,Coffee B,Coffee A,Coffee B,I primarily work from home,<$20,,Yes,No,$6-$8,$6-$8,Yes,$500-$1000,Yes,Female,Bachelor's degree,White/Caucasian,Homemaker,2,No affiliation
RzZMvJ,55-64 years old,3,At home,Coffee brewing machine (e.g. Mr. Coffee),,,,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Half and half,Full Bodied,Medium,Light,Half caff,6,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,,Yes,No,$6-$8,$8-$10,No,$300-$500,Yes,Male,High school graduate,White/Caucasian,Employed full-time,2,No affiliation
8dJapO,35-44 years old,2,"At the office, At home","Other, Pour over",Turkish,,,Other,Turkish,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,7,Coffee A,Coffee D,Coffee D,I primarily work in person,$60-$80,,Yes,Yes,$4-$6,$2-$4,No,$100-$300,Yes,Male,Doctorate or professional degree,White/Caucasian,,,
dYZaZq,35-44 years old,1,At home,"Pour over, Espresso",,,,Pourover,,"No - just black, Milk, dairy alternative, or coffee creamer",,"Half and half, Soy milk",Caramalized,Medium,Dark,Full caffeine,5,Coffee B,Coffee D,Coffee B,I primarily work from home,$20-$40,,Yes,Yes,$4-$6,$8-$10,No,$300-$500,Yes,Female,Master's degree,White/Caucasian,Homemaker,2,Independent
pL0y5E,25-34 years old,1,At home,"Pour over, Espresso",,,,Latte,,No - just black,,,Bright,Medium,Light,Full caffeine,7,Coffee B,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,More than $20,More than $20,No,$500-$1000,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,Democrat
8dJa6x,25-34 years old,2,"At home, At a cafe","Pour over, Espresso",,,,Cortado,,"No - just black, Milk, dairy alternative, or coffee creamer",,"Skim milk, Oat milk",Chocolatey,Somewhat strong,Medium,Full caffeine,8,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$6-$8,$8-$10,No,$500-$1000,Yes,Male,Some college or associate's degree,Hispanic/Latino,Employed full-time,2,No affiliation
